ResponseID,Language,ID_Q1,ID_Q2,ID_Q3,ID_Q4,ID_Q5,ID_Q6,ID_Q7,ID_Q8,ID_Q9,ID_Q10,ID_Q11,ID_Q12,ID_Q13,ID_Q14_1,ID_Q14_2,ID_Q14_3,ID_Q14_4,ID_Q14_5,ID_Q15,ID_Q16,ID_Q17,ID_Q18_1,ID_Q18_2,ID_Q18_3,ID_Q18_4,ID_Q18_5,ID_Q18_6,ID_Q18_7,ID_Q19_1,ID_Q19_2,ID_Q19_3,ID_Q19_4,ID_Q19_5,ID_Q19_6,ID_Q19_7,ID_Q19_8,ID_Q19_9,ID_Q20_1,ID_Q20_2,ID_Q20_3,ID_Q20_4,ID_Q20_5,ID_Q20_6,ID_Q20_7,ID_Q20_8,ID_Q20_9,ID_Q21_1,ID_Q21_2,ID_Q21_3,ID_Q21_4,ID_Q21_5,ID_Q22_1,ID_Q22_2,ID_Q22_3,ID_Q22_4,ID_Q22_5,ID_Q22_6,ID_Q22_7,ID_Q23,ID_Q23_1,ID_Q23_2,ID_Q23_3,ID_Q23_4,ID_Q23_5,ID_Q23_6,ID_Q23_7,ID_Q23_8,ID_Q24,ID_Q25,ID_Q26,ID_Q27,ID_Q27_1,ID_Q27_2,ID_Q27_3,ID_Q27_4,ID_Q27_5,ID_Q27_6,ID_Q28_1,ID_Q28_2,ID_Q28_3,ID_Q29,ID_Q29_1,ID_Q29_2,ID_Q29_3,ID_Q30,ID_Q30_1,ID_Q30_2,ID_Q30_3,ID_Q30_4,ID_Q30_5,ID_Q30_6,ID_Q30_7,ID_Q30_8,ID_Q30_9,ID_Q30_10,ID_Q30_11,ID_Q30_12,ID_Q30_13,ID_Q30_14,ID_Q30_15,ID_Q31,ID_Q31_1,ID_Q31_2,ID_Q31_3,ID_Q31_4,ID_Q31_5,ID_Q31_6,ID_Q31_7,ID_Q31_8,ID_Q31_9,ID_Q31_10,ID_Q32,ID_Q32_1,ID_Q32_2,ID_Q32_3,ID_Q32_4,ID_Q32_5,ID_Q32_6,ID_Q32_7,ID_Q32_8,ID_Q32_9,ID_Q32_10,ID_Q32_11,ID_Q32_12,ID_Q32_13,ID_Q32_14,ID_Q33,ID_Q33_1,ID_Q33_2,ID_Q33_3,ID_Q33_4,ID_Q33_5,ID_Q34,ID_Q34_1,ID_Q34_2,ID_Q34_3,ID_Q34_4,ID_Q35,ID_Q35_1,ID_Q35_2,ID_Q35_3,ID_Q35_4,ID_Q36_1,ID_Q36_2,ID_Q36_3,ID_Q36_4,ID_Q36_5,ID_Q36_6,ID_Q36_7,ID_Q36_8,ID_Q36_9
R_10qFeQjwWicmfW2,1,4,Australia,20,0,3,1,1,2,2,5,3,NA,NA,3,10,3,4,10,4,5,0,3,3,4,6,6,7,2,4,7,3,7,4,3,9,8,7,3,5,1,4,3,0,7,4,8,8,9,7,10,7,3,NA,5,2,0,2,6,3.75,5,2,4,4,5,3,4,3,2,1,2,4.666666667,4,7,4,7,2,4,4,5,5,1,0,0,1,4.133333333,3,5,4,5,5,4,3,5,3,5,4,5,4,2,5,2,3,2,2,3,2,3,3,0,1,1,1.214285714,2,1,1,1,3,1,1,0,0,1,1,2,1,2,7.2,7,8,8,5,8,4.5,4,7,6,1,2,5,1,2,0,2,2,1,3,4,3,1,NA,NA
R_10T9wnOo8F47E6q,1,4,Australia,32,1,5,1,1,3,1,3,6,NA,NA,8,8,7,7,7,6,7,1,6,4,8,7,4,8,5,8,NA,8,6,7,8,6,8,6,5,8,7,6,7,6,7,6,8,7,6,6,NA,8,7,NA,6,9,7,7,7,3.375,3,4,3,4,3,4,3,3,2,1,7,3.833333333,3,5,3,5,3,4,3,3,3,3,1,1,1,3.533333333,3,3,4,3,4,3,4,3,4,3,4,3,4,4,4,1.6,2,2,2,2,1,2,2,1,1,1,1.785714286,1,2,2,2,2,2,1,1,3,2,1,3,2,1,4.8,7,4,4,3,6,6.25,5,6,7,7,NA,5,NA,7,5,2,2,2,3,2,2,3,NA,NA
R_10uEgaw433F3SYR,1,4,Australia,49,1,5,1,0,2,1,5,5,NA,NA,7,7,4,0,8,8,9,1,7,3,5,8,9,9,6,8,8,3,2,7,2,5,6,3,2,2,5,4,1,3,7,1,7,8,7,8,8,7,8,NA,4,5,6,2,7,3,5,2,3,2,5,1,2,4,2,1,5,5.333333333,6,6,6,5,7,2,4,5,4,3,1,1,1,2.866666667,4,2,2,3,3,3,2,3,5,2,2,2,3,4,3,2.7,3,3,3,2,3,2,2,3,3,3,0.642857143,0,0,0,1,0,2,0,0,0,0,1,0,1,4,5.2,9,6,4,3,4,5,8,7,5,0,1.25,4,0,1,0,0,0,0,0,0,0,0,NA,NA
R_10vjleSO4dIoBjt,1,4,Australia,64,0,3,2,1,2,3,7,4,NA,NA,5,8,6,1,9,8,9,1,6,5,7,7,6,7,1,7,8,5,5,6,3,7,7,7,6,7,4,5,5,3,8,7,7,8,8,6,8,7,6,NA,4,7,8,7,9,3.5,5,2,4,4,4,1,4,4,2,0,5,4.5,4,2,5,5,6,5,4,5,5,1,1,0,0,3.2,3,4,1,4,2,4,4,4,2,4,2,4,4,2,4,2.7,2,2,3,3,3,2,3,3,3,3,0.428571429,0,1,0,1,0,0,0,0,0,0,1,1,1,1,5.2,5,8,6,6,1,1,2,1,1,0,1,1,2,0,1,0,1,1,1,0,0,0,NA,NA
R_111rsAJtpGlKUQS,1,4,Australia,45,0,3,2,1,2,4,5,8,NA,NA,8,8,9,8,8,9,9,1,9,8,8,9,9,8,8,8,8,8,8,9,8,8,8,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,NA,8,9,9,9,9,3.75,4,4,4,4,4,4,4,2,2,1,8,4.666666667,6,6,2,6,6,2,4,5,5,1,0,1,0,4.133333333,5,4,5,4,4,4,5,4,2,4,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,0,3,0,0,3,3,4,0,3,3,3,0,3,3,8,7,8,9,8,8,8.25,8,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
R_11bkLk6m9zqMnDz,1,4,Australia,73,1,2,3,1,2,3,6,7,NA,NA,5,4,7,0,8,5,8,1,2,0,2,7,8,1,0,8,8,7,5,8,7,7,10,8,5,5,0,8,0,3,5,3,5,6,5,6,5,6,6,NA,5,8,2,5,2,4.125,5,3,5,3,5,3,4,5,4,0,10,5.833333333,4,7,4,6,7,7,5,5,5,0,0,0,0,3.133333333,3,4,3,5,3,3,4,2,1,5,3,3,3,2,3,2.1,3,2,2,1,2,3,2,2,1,3,1.285714286,0,3,0,0,2,1,3,0,1,0,3,0,2,3,4.8,7,7,0,5,5,2.5,2,0,0,8,0,0,0,0,0,0,0,3,2,2,0,2,NA,NA
R_11drdEPAC0Vro9T,1,4,Australia,38,1,5,1,1,3,1,7,6,NA,NA,5,8,5,6,6,6,7,1,7,6,6,6,4,6,6,6,4,7,6,4,8,8,4,6,6,4,8,5,6,7,8,8,7,NA,6,8,6,8,6,NA,4,8,4,7,8,3.375,4,3,4,2,4,3,4,3,2,1,7,3.666666667,2,4,2,5,4,5,5,3,4,3,1,1,1,3.6,4,3,4,3,4,4,4,4,3,2,4,3,4,4,4,2.3,2,3,3,3,3,3,2,0,2,2,2.071428571,2,2,1,3,3,2,1,3,1,2,3,2,1,3,5.4,7,5,4,4,7,5.5,7,4,7,4,6,7,5,6,6,1,2,3,1,1,2,3,NA,NA
R_11hG9lPtkgO7XLT,1,4,Australia,22,0,2,5,1,3,2,5,3,NA,NA,6,5,5,5,4,3,5,1,5,5,5,4,5,6,5,5,4,5,6,5,2,3,7,3,5,5,4,3,2,2,3,2,6,3,3,4,6,3,3,NA,3,4,4,3,5,2.875,2,2,3,2,3,3,4,4,2,1,6,3.666666667,3,5,3,4,4,3,3,3,3,0,0,0,0,2.866666667,2,3,3,3,4,2,3,3,2,3,3,3,2,3,4,1.7,1,2,1,2,2,2,1,2,2,2,2,1,3,1,2,2,2,1,3,3,3,1,2,1,3,7.4,8,8,8,9,4,1.75,4,2,1,0,5.75,6,4,4,9,2,2,2,2,2,3,1,NA,NA
R_11YN6rTsPjPP4gd,1,4,Australia,33,1,4,2,1,2,1,6,6,NA,NA,6,5,2,3,4,6,6,0,6,5,4,3,3,4,5,7,NA,5,3,2,3,4,5,6,6,NA,4,3,2,3,4,5,6,6,5,4,2,4,6,NA,4,3,2,3,4,3.25,4,3,2,3,4,3,3,4,4,1,6,3.833333333,3,4,5,4,3,4,3,2,3,0,0,0,0,3.2,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,1.7,2,1,2,2,1,2,1,3,2,1,2.071428571,3,1,1,2,3,3,2,1,2,3,3,2,1,2,4.2,5,3,4,4,5,3.75,6,3,2,4,4.5,5,6,3,4,3,2,1,2,3,2,3,NA,NA
R_11ZVlpc8DbWI2VA,1,4,Australia,48,1,4,3,1,2,1,5,3,NA,NA,7,6,8,2,6,8,8,0,8,7,7,8,9,8,7,7,8,8,9,7,7,9,6,8,6,7,7,8,7,6,9,6,8,7,9,8,8,9,8,NA,9,8,8,9,8,3.5,3,4,4,4,4,2,4,3,4,0,8,4,3,6,2,5,2,6,4,4,4,3,1,1,1,3.266666667,3,4,4,2,4,4,2,2,1,2,4,5,4,4,4,2.5,2,3,3,3,3,2,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,6,6,7,6,2,3,1,3,7,1,1.5,2,3,1,0,1,1,1,1,1,0,1,NA,NA
R_1208xodmsDHkEek,1,4,Australia,35,1,4,1,1,1,1,2,1,NA,NA,6,7,7,8,8,2,5,1,8,8,7,7,6,7,1,7,7,7,7,7,5,5,6,7,2,3,4,4,5,4,7,5,8,6,7,6,7,9,6,NA,6,6,6,6,6,3.875,4,4,4,4,4,3,4,4,2,1,2,NA,3,NA,3,6,6,6,4,5,5,3,1,1,1,NA,5,4,3,NA,3,NA,2,NA,4,5,4,3,4,4,4,1.9,2,2,2,2,2,1,3,0,3,2,NA,1,0,0,1,0,NA,0,3,2,1,0,2,1,1,8.4,10,9,6,8,9,3.75,4,4,4,3,2,3,2,2,1,0,1,1,1,2,1,1,NA,NA
R_1243R8vZfs0Hdni,1,4,Australia,35,1,5,1,1,3,1,4,6,NA,NA,7,7,6,7,7,5,3,1,4,6,8,8,7,7,7,8,7,7,7,5,8,3,7,8,7,4,9,7,5,8,4,8,5,NA,8,7,NA,7,6,NA,6,7,7,8,5,NA,3,2,NA,4,3,NA,2,3,1,1,6,3.833333333,3,6,4,4,3,3,3,3,3,3,1,1,1,NA,3,4,3,4,3,3,4,3,3,3,3,NA,3,4,3,1.3,1,2,1,2,1,1,2,1,1,1,2.142857143,2,2,3,0,3,2,2,3,1,3,2,3,1,3,5.6,4,6,4,6,8,4.5,6,5,4,3,5.75,2,6,7,8,3,2,2,3,2,1,2,NA,NA
R_126nua2u5Doi7et,1,4,Australia,66,0,3,2,1,2,2,5,0,NA,NA,0,7,10,5,10,0,0,0,0,0,0,0,5,5,5,10,8,5,4,10,6,4,10,7,0,4,6,6,0,2,6,0,0,5,5,5,5,2,0,NA,5,6,5,6,0,5,5,5,5,5,5,5,5,5,2,0,3,7,7,7,7,7,7,7,4,5,5,3,1,1,1,3.733333333,5,3,5,3,1,4,4,3,2,5,3,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2.071428571,0,3,2,3,3,0,2,2,1,2,3,2,3,3,6.6,8,7,5,6,7,1.75,7,0,0,0,0,0,0,0,0,2,0,2,3,2,1,2,NA,NA
R_12EKlkqjPiKljIE,1,4,Australia,67,0,5,2,0,2,3,2,8,NA,NA,8,8,5,0,0,8,10,1,8,7,5,10,8,10,8,7,6,4,1,8,1,8,6,5,4,8,7,8,4,3,10,6,10,10,10,10,10,10,10,NA,8,10,8,8,10,3,5,4,2,4,4,1,2,2,4,0,10,1.166666667,1,1,1,1,2,1,5,1,4,3,1,1,1,3.466666667,2,2,3,4,4,4,5,4,2,5,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,0.071428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,7,9,2,6,3,3,6,0,6,0,2,0,0,0,8,0,0,0,0,0,0,0,NA,NA
R_12MbJrDtzrKv3Yd,1,4,Australia,33,1,4,1,1,2,1,5,5,NA,NA,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,0,NA,4,4,4,4,4,4,4,3,3,4,NA,0,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.6,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,8,7,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,NA,NA
R_12QkPdoQXW2U9ZH,1,4,Australia,34,0,4,1,0,3,1,5,2,NA,NA,4,4,5,8,5,8,6,0,7,3,3,2,5,7,5,4,4,2,6,4,2,6,6,7,4,0,3,2,3,4,7,5,7,5,6,7,7,8,3,NA,5,5,5,4,8,3.375,3,3,3,4,3,4,4,3,2,1,8,3.5,3,3,3,5,3,4,4,4,5,0,0,0,0,3.466666667,4,4,4,3,2,4,3,4,3,4,3,4,4,3,3,2.4,2,2,3,3,3,2,2,2,2,3,2.5,3,3,3,4,3,2,2,2,2,3,2,2,2,2,7.2,8,7,7,7,7,4.25,6,3,6,2,4,4,3,3,6,3,1,2,3,3,2,2,NA,NA
R_12RLc3OcqjXoLmU,1,4,Australia,34,1,3,2,1,2,1,5,0,NA,NA,1,1,1,1,1,5,5,0,5,5,5,5,2,2,3,2,3,2,2,2,4,4,1,4,1,2,2,3,2,2,2,2,1,5,5,5,5,5,5,NA,0,5,5,0,0,5,5,5,5,5,5,5,5,5,2,1,5,3.833333333,3,4,4,4,1,7,5,1,3,2,1,0,1,3.8,5,3,3,4,2,4,4,4,4,2,5,5,4,3,5,1.8,3,3,1,3,2,3,2,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,7.25,7,8,8,6,3.75,4,8,2,1,3,3,3,3,3,3,3,NA,NA
R_12ScgNOiWjgBnYC,1,4,Australia,56,1,2,2,1,2,1,5,3,NA,NA,2,2,3,3,8,5,5,0,3,3,3,3,5,6,6,5,6,6,6,5,6,6,4,6,5,5,6,6,3,4,7,5,7,7,7,7,7,7,6,NA,5,6,6,5,7,3.5,4,3,3,3,5,4,3,3,9,0,4,5.666666667,6,5,6,5,7,5,3,5,4,3,1,1,1,3.533333333,4,3,4,4,3,3,4,4,3,3,3,3,4,4,4,2.1,2,2,2,2,1,2,2,2,3,3,1.071428571,1,1,0,1,1,2,1,1,1,1,1,2,1,1,5.4,6,6,5,5,5,0.25,1,0,0,0,1,2,2,0,0,0,0,0,0,2,1,0,NA,NA
R_1BW2SU5KnXFVOi4,1,4,Australia,54,0,3,2,1,2,3,5,0,NA,NA,10,10,8,0,0,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,1.875,4,3,1,1,1,1,1,3,2,0,10,4.5,7,4,4,4,7,1,3,3,3,3,1,1,1,2.733333333,3,3,4,2,1,1,4,3,1,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
R_1BY6oNAURmBW52n,1,4,Australia,26,1,3,3,1,2,1,7,6,NA,NA,7,9,7,9,9,7,9,1,6,9,9,8,8,5,8,8,6,7,8,6,7,9,7,4,6,7,10,8,5,7,6,6,8,7,8,8,9,8,3,NA,8,9,4,8,6,3.75,3,4,2,5,3,4,4,5,2,0,6,3.5,3,3,3,5,2,5,4,5,5,2,0,1,1,4,3,4,4,4,5,4,3,5,5,4,3,4,3,5,4,1.5,2,2,1,3,2,2,2,0,1,0,2.928571429,2,4,2,3,3,3,4,3,3,2,2,4,3,3,6.2,6,7,5,6,7,8.25,7,9,10,7,6,4,5,7,8,3,4,2,2,3,4,2,NA,NA
R_1C3he0fkn9cp2ez,1,4,Australia,38,0,5,1,1,2,9,5,6,NA,NA,6,5,8,8,5,7,7,0,7,6,6,6,6,7,5,6,8,7,8,8,7,6,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,NA,5,6,7,5,6,3.25,3,3,3,3,3,4,4,3,2,NA,5,5.166666667,4,6,5,6,5,5,4,4,4,0,0,0,0,3.266666667,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,1.8,1,2,2,2,2,2,1,2,2,2,0.5,0,1,0,0,0,1,1,0,1,0,0,1,1,1,7.8,8,8,8,8,7,5.5,5,5,6,6,5.5,6,5,6,5,2,1,1,1,0,0,1,NA,NA
R_1CEgFULaW3KYjGz,1,4,Australia,36,0,3,3,1,2,9,6,3,NA,NA,7,4,1,1,3,7,3,1,6,3,3,5,7,4,1,5,7,7,3,5,3,3,7,6,4,4,1,7,4,7,7,3,4,8,3,7,5,6,6,NA,3,7,7,3,7,3,4,3,4,2,3,2,2,4,2,1,7,3.666666667,2,3,4,4,4,5,3,5,3,3,1,1,1,3,4,4,2,4,2,4,3,4,4,3,3,2,2,2,2,1.9,3,2,2,2,1,1,2,1,2,3,0.857142857,1,2,0,0,1,1,1,0,1,1,1,0,0,3,6,8,9,3,4,6,1.5,3,1,1,1,1.5,4,1,1,0,1,0,2,1,2,0,3,NA,NA
R_1CHF6rOiW9CVeTg,1,4,Australia,32,0,5,1,1,3,1,6,4,NA,NA,4,4,6,7,8,8,4,1,6,NA,NA,7,8,7,6,7,6,6,6,7,6,8,6,7,7,7,6,7,6,7,6,8,6,7,6,8,6,7,8,NA,6,6,8,6,7,3.625,4,4,3,4,3,3,4,4,2,1,6,4,3,5,4,5,3,4,4,3,3,3,1,1,1,3.266666667,3,3,3,4,2,4,4,3,4,3,3,3,3,4,3,1.7,2,3,2,2,0,2,2,2,1,1,1.857142857,1,2,1,3,2,3,1,2,2,2,2,0,3,2,5.2,3,7,3,7,6,4.75,3,5,6,5,6,7,6,6,5,2,3,1,3,2,2,3,NA,NA
